게시글ID,제목,내용,댓글,URL
7329,[TIP] pnp_oms_dms 의 UDP PORT 가 BPFDoor 취약점 점검 스크립트에 검출되는 현상,"관련 카페 게시글 : pnp_oms_dms 내 UDP LISTEN 중인 포트 정보 확인 요청 [바로가기]
pnp_oms_dms 의 UDP 랜덤포트가 수신 대기 중으로 보이며, 일부 포트가 BPFDoor 취약점 점검 스크립트에 검출되는 현상이 발생할 수 있습니다.
참고 이미지
결론: 실제 수신 대기 포트는 고정되어 있습니다.
pnp_oms_dms 에서 UDP 에 대해 실제로 수신대기하고 있는 포트는 50011 과 3150 입니다.
위 이미지와 같이 랜덤포트가 UDP 수신대기하는 것과 같이 보이는 현상은 수신대기 중인 것이 아닌, UDP 메시지를 전송하기 위해 생성된 소켓이 유지될 때 발생합니다.
(UDP 메시지가 자주 전송될 가능성이 있는 부분 대상으로, 리소스의 재사용을 통해 처리 속도를 올리기 위한 작업)
따라서 pnp_oms_dms 에서 점유중인 UDP 포트와 관련하여 문의사항 발생 시, 위 내용으로 고객사 가이드가 필요합니다.",댓글 없음,https://cafe.naver.com/pnpsecure2/7329
7325,[SKMNS]OS업그레이드 이후 구동 서비스 필터링 오류,"DBSAFER 서버 OS 업그레이드 (CentOS7 -> Rocky8) 이후 서비스 리스트 조회시 기존 서비스와 수량차이가 발생
[요약]
- Rocky8 + latin1 PKG의 경우 grep을 통한 필터링 사용시 한글이 포함된 서비스명이 제외됨
- awk '/XXX/' 를 통해 조회 조회 가능
[현상 확인]
1. 전체 서비스 목록을 조회 하면 정상적으로 모든 서비스 출력
2. ""grep"" 을 이용하여 조회조건을 줄 경우 일부 서비스가 누락되어 조회됨
전체 서비스 리스트 - 15개
grep 문 필터링
""grep"" 을 통해 서비스를 필터링 할 경우 Oracle에서 1개, Telnet에서 1개의 서비스가 누락되어 확인 됨
매니저 서비스 목록
전체 서비스 목록 확인
- 서비스 명에 한글이 포함될 경우 grep 조건에 부합 여부와 상관없이 결과에서 제외 됨
[서비스 조회]
- 정확한 조회를 위해서 ""awk"" 를 통한 필터링 시도
예시) 구동중인 Oracle 서비스를 조회할 경우
#./pnp_agent service-list | awk '/Runn/' | awk '/Oracle/'
awk 필터링
"" awk '/XXX/' ""를 이용하여 서비스리스트를 필터링 할 경우, 정상적으로 한글이 포함된 서비스도 확인
not 조건 삽입
"" awk '!/XXX/' ""를 이용하여 예외 조건 설정가능
[발생 조건]
- Rocky8 OS에 Latin1 PKG를 사용할 경우 해당 현상이 발생합니다.
- UTF-8 PKG를 설치한 경우 grep 을 통해 정상적으로 조회가 됩니다.
UTF-8 PKG 설치 시
[GREP 및 AWK 비교](feat.GPT)",댓글 없음,https://cafe.naver.com/pnpsecure2/7325
7323,[OK금융그룹]SSH 옵션을 통한 IP 접근 제어,"[고객사 환경]
1. 기존 서버들에 SSH 접속에 대한 설정이 존재함
> /etc/hosts.allow, /etc/hosts.deny 파일을 통해 제어하고 있음
2. 다만 Rocky OS 에서는 더이상 해당 기능을 지원하지 않음
> hosts.allow, hosts.deny 파일을 생성해도 기능이 동작하지 않습니다.
[요청 사항]
SSH 옵션을 통해 제어할 수 있는 방법이 있으니 해당 방법으로 ACL 적용을 요청
[테스트 및 설정]
1. Match 옵션을 통한 OS 계정별 접속가능 IP주소 설정
2. pnpsecure 계정, root 계정의 허용 IP를 다르게 지정하여 접속 테스트
AI 활용
옵션 설정 화면
설정 상세
- 정책 1
pnpsecure 유저에 대해 134, 122 IP를 제외하고 아래 옵션을 적용
옵션 내용 : 패스워드를 통한 접근차단, TTY 접근 차단
- 정책 2
root 유저에 대해 134, 123 IP를 제외하고 정책 1과 동일 옵션을 적용
* address 전체(*)에 대해 적용하며, ""!""를 통해 not 조건 부여(예외처리)
[사내 테스트]
122 -> 121 접속 시도
- 122번 IP에서 접속 결과 root 계정은 접속 차단, pnpsecure 계정은 접근 허용 확인
123 -> 121 접속 시도
- 123 IP에서 접속 결과 pnpsecure 계정은 접속차단, root 계정은 접속허용 확인
옵션 적용 후에는 ssh 서비스를 재시작 해야 합니다!!!",댓글 없음,https://cafe.naver.com/pnpsecure2/7323
7319,[공유] DBSAFER 7.0 HTTP / HTTPS 웹 접근 제어 기능 공유,"안녕하세요
클라우드기술팀 손혁진입니다.
DBSAFER 7.0에서 HTTP / HTTPS 웹 접근 제어 기능 사용 방법 공유 드리겠습니다.
테스트 환경
- OS : Rocky8
- DBSAFER : V7.0
- Enterprise Manager : 7.0.0.2A (Build-3556)
- pnp_basic
BASIC SERVICE RELEASE VERSION 3.0.4 for RelV7-TBIN-RockyLinux
MAIN VERSION 3.7 (120200101)(Rev: v2697)
COMMON LIBRARY VERSION: 4040
COMMON POLICY MODULE VERSION: 1.2.19
COMMON AUDIT LOG MODULE VERSION: 1.1.02
COMMON FORMAL_QUERY MODULE VERSION: 1.1.0.1
SHARED INTERFACE VERSION: 656
Pol/Log Build: POLICY-(105) LOG-(107)
The latest update of the binary: Sep 20 2024
[요약]
- DBSAFER 7.0에서는 pnp_basic으로 HTTP / HTTPS 웹 접근 제어 기능 사용 가능
. 기존 DBSAFER 5.0에서는 pnp_extransparents 모듈 사용 (pnp_extransparents는 DBSAFER 5.0에서만 사용되는모듈)
- DBSAFER 7.0에서 삼만 모듈 사용하지 고객사는 HTTP / HTTPS 웹 접근 제어 기능 사용 불가
. 삼만 모듈 사용 시에만 pnp_basic 사용 가능하며 DBSAFER 7.0에서는 pnp_basic으로 웹 접근 제어 기능 수행
[설정 방법]
- 아래 pnp_basic.conf에서 접근 권한 확인 할 수 있도록 설정
- 웹 제어 서비스 생성 시 PASS 설정 및 구동
[결과]
- 웹 제어를 위한 서비스 정상 생성 완료
- 웹 제어 정상 동작 확인
[제약사항]
- 접속 제어만 사용이 가능하며, 권한 제어 불가
- 웹 접속 시, 다수의 로그가 로깅
. 사유 : SYN 패킷 기준으로 로깅을 하기 때문에 웹 접속 시 다수의 로그가 로깅
- 접속 계정은 IP로 로깅
. 접속계정 정책 검사 불가
PS.
- Enterprise Manager 7.0 > 시스템 설정 > 객체 설정 > 서비스 설정 > TERMINAL - HTTPS, TTP 설정은 위 기능과 무관
- 기존 DBSAFER 5.0에서는 TERMINAL 서비스에서 ALIAS 설정통해 HTTP/HTTPS 서비스 종류를 만들 수 있었으나 DBSAER 7.0에서는 불가
. HTTP / HTTPS 서비스 생성이 필수적으로 필요한 한 경우 DBMS(추가 DBMS Alias 설정) 으로 생성 필요
감사합니다.",댓글 없음,https://cafe.naver.com/pnpsecure2/7319
7309,[TIP] 관리자 패스워드 암호화 강화 설정 후 Manager 접속 불가 시 체크사항,"1. 현상
- ./pnp setup의 'use enhanced encrypt' > 'use manager authentication with enhanced password' 설정 Enable 후 Manager 로그인 불가
2. 체크 필요사항
- desc dbsafer3.auth_users; 결과값에서 passwd 필드의 타입이 varchar(41)인지 확인
- 'use manager authentication with enhanced password' 설정의 경우 passwd 필드가 varchar(64)인 경우에 정상 동작함
- dbsafer 정책 DB를 이관하여 구축하였거나 구축한 지 오래된 DBSAFER일 경우 passwd 필드가 varchar(41)일 수 있음
3. 조치 방법
- passwd 필드의 타입을 varchar(64)로 변경 후
'use manager authentication with enhanced password' 설정 Enable 및 관리자 계정 PW 변경 진행
* 참고 사항
pnp_agent r1345 이상부터는 pnp_agent 모듈 가동 시 passwd 필드가 varchar(41)일 경우 varchar(64)로 자동 alter 처리합니다.(2025/04/18 모듈 수정됨)",댓글 없음,https://cafe.naver.com/pnpsecure2/7309
7301,[TIP] [WEB DMS] 데이터베이스 버전 추가 방법,"[개요]
WEB DMS 에서 대상 데이터베이스 등록시에 버전 및 드라이버가 일치하지 않는 경우에 사용 가능.
현재 WEB DMS 안에 내장되어있는 드라이버 및 버전은 한정적이므로 엔지니어가 상황에 따라 유연하게 추가 및 삭제 진행 필요.
[방법]
1. DBMS 드라이버 파일 다운로드.
> 추가하고 싶은 DBMS의 버전별 드라이버를 인터넷 및 각 경로에서 다운로드 하여 로컬 PC에 저장 필요.
(ex. ojdbc14.jar , mysql-connector-j-8.0.32.jar )
2. WEB DMS 지원 데이터베이스 관리 설정
> 2.1 엔지니어 계정 로그인 -> 원장 관리 -> 지원 데이터베이스 관리 -> 버전별 드라이버 목록 ( 등록 )
3. 임시 드라이버 등록
> WEB DMS에서 드라이버와 버전은, DMS 데이터베이스의 dbms_type_version_file 테이블과 dbms_type_version 테이블을 참조.
dbms_type_version_file (드라이버) 테이블은 dbms_type_vesion (버전) 테이블의 부모 테이블 이므로 FOREIGN KEY인 dbms_type_version_file_idx 를 먼저 생성시켜주기 위해,
드라이버 파일을 먼저 등록 하여 dbms_type_version_file 테이블에 데이터를 넣어준 후 버전 등록 필요.
(dbms_type_version_file_idx 컬럼이 dbms_type_version 테이블의 FOREIGN KEY)
3.1 종류, 버전, 클래스명 임시로 입력후 원하는 드라이버 파일 첨부하여 등록 진행.
3.2 등록
등록 완료.
3.3 DB값 확인
dbms_type_version_file select 시 추가된것 확인.
> dbms_type_version_file 테이블 조회 후 dbms_type_version_file_idx 값 확인 필요.
(추후에 dbms_type_version 테이블에 매핑하여 insert 하기 위함)
4. 버전 추가
dbms_type_version 테이블의 컬럼 값들에 맞추어 insert 쿼리 실행.
ex) insert into dbms_type_version values ('141', '0' , '1.2.3.4.5' , '68', '2025-06-10 00:00:00' , '2025-06-10 00:00:00') ;
==>1.2.3.4.5 라는 버전을 추가하는 쿼리
4.1 dbms_type_version_idx 값은 auto_increment 값이라 1씩 오르는게 정상이지만, 7.0 갈레라 구성에서는 마지막 idx 값에서 부터 2씩 오르는 특성이 있으므로 주의 요망.
(현재 마지막 데이터의 idx 값이139 => 입력할 데이터의 idx 값 = 141)
4.2 dbms_type 은 각 DB 별 type 값이 정해져있음. (dms.dbms 테이블과 dms.dbms_type 에 매핑되어 값 존재.)
> 현재 서버에 등록된 데이터베이스 기준으로 0 = oracle, 1 = mysql
4.3 version 은 실제로 추가하고 싶은 데이터베이스의 버전값 입력.
4.4 date 값은 현재로 입력
5. DB 및 WEB 확인
> select * from dbms_type_version \G ;
생성 완료
> DB에 생성된 값으로 web에서 버전이 매핑되어 변경된 것 확인.
변경 확인
6. 삭제 및 재등록
기존에 임시로 등록했던 드라이버 삭제
6.1 재등록
추가한 버전은 드롭박스에 추가되어있음.
> 추가한 버전 선택, 실제 사용할 클래스명 입력, 드라이버 파일 재첨부하여 등록 진행.
등록 완료.
7. 데이터베이스 등록 진행
> 실제 대상 데이터베이스 등록시에 버전 확인. (초록색 불)
=====================================================
*참고*
해당 방법은 oracle DB와 Mysql DB만 테스트하여 적용 진행한 방법입니다.
DB작업을 통해 임의로 추가하는건 기능 상 문제가 없으면 사용 가능하며,
QA 검증이 불가한 방식인 점 참고드리면 감사드리겠습니다.
버전 및 드라이버를 정식으로 추가하려면, bugs 에 기능 수정요청이 필요합니다.
감사합니다.",댓글 없음,https://cafe.naver.com/pnpsecure2/7301
7299,[TIP] Manager 7.0 보안계정 그룹명 변경 후 반영 기능 개선 조치,"[현상]
1. 보안계정 그룹 생성 (생성된 그룹탭 열림)
2. 보안계정 그룹명 변경
3. (1.에서 열린 탭을 새로고침하지 않고)객체 등록 시 변경 전 그룹명으로 등록됨
1. 보안계정 그룹 생성 (before)
2. 생성 시 보안계정 그룹탭 열림
3. 보안계정 그룹명 변경 (before -> after)
4. 보안계정 그룹탭에서 보안계정 aaa를 그룹에 등록
5. 적용
6. 그룹명 변경 전인 before에 등록됨
[원인]
- 그룹명 변경 후 열려있던 탭에 변경된 그룹명이 업데이트되지 않아 발생
(그룹명 변경 후에는 탭을 다시 열거나 수동으로 새로고침해야 하는 것이 로직에 틀리진 않으나, 담당자 입장에서는 번거로울 수 있고, 간과할 경우 정책이 의도한 대로 적용되지 않을 수 있음)
[조치]
- Enteprise Manager 7.0.0.2 ALPHA (Build - 3525) 이상 버전으로 업데이트 적용",댓글 없음,https://cafe.naver.com/pnpsecure2/7299
7295,[TIP] pnp_log_sender 대상 서버 TCP 로그 전달 내부 테스트 방법 공유,"[요약]
- pnp_log_sender 내부 테스트 시 대상서버에 전달되는 내용을 직접 확인할 수 있는 방법 공유 드립니다.
> 대상서버에 TCP로 pnp_log_sender 로그 전달 설정
> 대상서버에서 nc 명령어로 들어오는 데이터에 대해서 특정 경로에 기록하게 설정
> 기록된 데이터파일 확인
- 사내테스트 진행 내역
[DBSAFER 서버 설정 내역]
- DBSAFER 서버 에서 pnp_log_sender.conf 설정 및 pnp_log_sender start
# vi /dbsafer/.conf/pnp_log_sender.conf
# server_ip = [대상서버 ip]
# server_port = [대상서버 데이터 받을 port]
# server_type = 2 (TCP 데이터 전송)
- 정상 connect 시 아래 사진과 같이 pnp_log_sender 모듈 로그에 Target server connect success. 로그 확인 가능
[대상 서버 설정 내역]
- 대상서버 (192.168.102.239)에 nc 명령어를 통해 /root/test/log_sender_output_test.txt 으로 전달받는 데이터 기록하게 설정
# nc -l -p 1468 > /root/test/log_sender_output_test.txt
(** -l 옵션 : 리슨(listen) 모드 : 서버처럼 동작하며 포트 OPEN 및 클라이언트 접속 대기
-p 옵션 : 포트(port) 지정 : 리슨할 포트 번호를 명시함)
# netstat -anp | grep 1468 명령어 수행 시 listen 상태 확인
- 사용자 쿼리 수행
- 대상서버에서 전달받은 txt 파일 읽기
이상입니다.
감사합니다.
* 수정이 필요한 부분이나 개선사항이 있다면 댓글로 남겨주시면 감사하겠습니다.",댓글 없음,https://cafe.naver.com/pnpsecure2/7295
7289,[TIP] PC Assist 사용자 식별 정보 어플리케이션명,"pnp_oms_dms.conf 설정에 ""NAT_IDENTITY_EXTEND_TYPE = 1""로 설정하게 될 경우
사용자 식별 정보에 DBMS프로그램명이 포함되게 됩니다.
이때 사용자 식별 정보에 전달되는 어플리케이션명은 작업 관리자에서 확인되는 경로내 파일명이라고 합니다.
[추가 팁]
쿼리박스로 한글명 어플리케이션명 테스트 하는 방법
1. 쿼리박스 설치 경로로 이동
2. Querybox.exe, Querybox.ini 파일명을 똑같이 원하는 명칭으로 변경",댓글 없음,https://cafe.naver.com/pnpsecure2/7289
7247,"[TIP] MAC Agent 설치 과정에서 ""PCAssistTransProxyNE을(를) 활성화 하는데 실패함"" 에러 문구 출력되는 현상","[FAQ분류] (에러로그문의 / 기능로직문의 / 기타문의)
에러로그문의
[고객사/채널사]
카카오뱅크
[이슈내용]
1. 증상 (증상 발생 전/후 변경된 사항의 유무를 반드시 체크)
- MAC Agent 설치 과정에서 ""PCAssistTransProxyNE을(를) 활성화 하는데 실패함"" 에러 문구 출력되는 현상
> ""로그인 항목 및 확장""에서 PCAssistService를 활성화 하려했으나, 아래 같은 에러가 발생
2. 예상되는 원인 및 확인한 내용 (방화벽 및 보안 프로그램 등의 체크 사항)
3. 특이사항 (연동 모듈, 커스텀 개발 등)
- 카카오뱅크 고객사 커스텀 Library 설정 들어가 있음
- MAC 자체 PC assist 모듈 로그는 남고있지 않음
4. 사내 재현 정보
5. 요청사항
- 해당 현상 발생 원인 및 해결방법 확인 요청 드립니다.
[모듈 로그(Debugging 로그 및 ERROR 로그]
(파일 첨부를 하는 경우에도 중요한 에러로그(ERROR, WARNING)의 경우 반드시 본문에 포함)
[콘솔 로그]
오류 14:52:31.942750+0900 PCAssist WARNING: Secure coding is automatically enabled for restorable state! However, not on all supported macOS versions of this application. Opt-in to secure coding explicitly by implementing NSApplicationDelegate.applicationSupportsSecureRestorableState:.
오류 14:52:31.969523+0900 tccd Prompting policy for hardened runtime; service: kTCCServiceAppleEvents requires entitlement com.apple.security.automation.apple-events but it is missing for responsible={TCCDProcess: identifier=com.pnpsecure.pcassist.PCAssist, pid=41015, auid=52880260, euid=52880260, responsible_path=/Applications/PCAssist/PCAssist.app/Contents/MacOS/PCAssist, binary_path=/Applications/PCAssist/PCAssist.app/Contents/MacOS/PCAssist}, accessing={TCCDProcess: identifier=com.pnpsecure.pcassist.PCAssist, pid=41018, auid=52880260, euid=52880260, binary_path=/Applications/PCAssist/PCAssist.app/Contents/MacOS/PCAssist}, requesting={TCCDProcess: identifier=com.apple.appleeventsd, pid=274, auid=55, euid=55, binary_path=/System/Library/CoreServices/appleeventsd},
오류 14:52:32.074290+0900 PCAssist ViewBridge to RemoteViewService Terminated: Error Domain=com.apple.ViewBridge Code=18 UserInfo={com.apple.ViewBridge.error.hint=this process disconnected remote view controller -- benign unless unexpected, com.apple.ViewBridge.error.description=NSViewBridgeErrorCanceled}
오류 14:52:44.747879+0900 PCAssistService Failed to get or decode unavailable reasons
오류 14:53:46.507719+0900 runningboardd RBSStateCapture remove item called for untracked item 169-162-8075 (target:[anon<PCAssistService>(52880260):41297])
오류 14:53:46.507740+0900 runningboardd RBSStateCapture remove item called for untracked item 169-134-8074 (target:[anon<PCAssistService>(52880260):41297])
[버전 정보](서버 PKG, Manager, PC-ASSIST, 클라이언트 툴 버전 등)
version : PCAssist_3.3.4.38
[추가 정보]
Macbook Pro 16(2023)
Mac OS : Seqipoa 15.4
칩 : Apple M2 Pro
[첨부파일](파일명에 이슈와 관련된 모듈이나 제품명 및 사이트명)
첨부파일
[카카오뱅크] MAC Assist_log
.txt
null
파일 다운로드","박수아: 증상이 발생한 macOS 버전과 가능하시다면 설치 패키지 전달 요청 드립니다. | 김연수: 본문에도 해당 내용 수정해두었습니다.
설치 패키지는 용량 문제로 따로 전달 드리겠습니다.

[추가 정보]
Macbook Pro 16(2023)
Mac OS : Seqipoa 15.4
칩 : Apple M2 Pro

감사합니다. | 박수아: 고객사 환경에 설치된 MDM 솔루션에 의해 차단된 현상으로 MDM 솔루션에 아래의 정책을 추가하여 정상 동작 확인하였습니다. MDM 정책 참고 부탁드립니다.

. Team ID: 6Z7ZT57XZ4
. Bundle ID: com.pnpsecure.pcassist.PCAssistTransProxyNE
. Types: com.apple.system_extension.network_extension",https://cafe.naver.com/pnpsecure2/7247
