게시글ID,제목,내용,댓글,URL
7241,[TIP] 별도 페이지를 통한 Google OTP 발급 시 관리자 2차 인증 설정 방법,"[개요]
- 별도 페이지를 통한 Google OTP 발급 시 관리자 2차 인증 설정 방법을 공유하고자 합니다.
[설정방법]
1. saferuas 엔지니어 페이지 접속
- 2차 인증 연동 / 2-factor 인증 연동 > 관리자 2차 인증 설정
2. Enterprise Manager 설정
- 시스템 설정 > 메뉴 설정 > 로그인 시 2차 인증 사용: 관리자 계정 자체 인증 설정 후 확인버튼 클릭
3. 관리자 계정 수정
- 관리자 계정 관리 > (관리자 계정 우클릭)관리자 계정 수정 > 휴대전화번호/이메일 기입 및 관리자 2차 인증 ""사용"" 설정 후 확인버튼 클릭
4. Google OTP 키 발급
- 관리자 로그인 후, OTP 인증번호 재발급을 눌러 Google OTP 키 발급 페이지 접속.
- 관리자 계정으로 로그인 후 키값 확인
이상입니다. 감사합니다.",댓글 없음,https://cafe.naver.com/pnpsecure2/7241
7233,[기술본부 공유] SKT 해킹 BPFDoor 악성코드 점검 보안 위협 점검 및 대응 내역,"※ 본 내용은 DBSAFER를 포함한 회사 제품군(INFOSAFER, DATACRYPTO, FACELOCKER) 어플라이언스 장비 전체에 해당됩니다.
0. 환경
- 사이트명 : 포스코이앤씨
- 버전 : INFOSAFER V1- Build 662
- OS : CentOS Linux release 7.8.2003
- 서버 : DELL R740
1. 요청 사항
- 최근 SKT 해킹 사례 관련 INFOSAFER 어플라이언스 장비 내 BPFDoor 악성코드 감염 여부 점검
2. 포스코이앤씨 기준 대응 및 예방 조치 항목
- 항목
1) BPFDoor 탐지 : 패킷 수신 대기 함수(packet_recvmsg, wait_for_more_packets) 사용 여부 확인
2) 비정상 포트 확인 : ss -lp 명령어로 42391~43391 포트 모니터링
3) 악성 파일 존재 여부 : /dev/shm/kdmtmpflush 경로 확인
4) iptables 조작 여부 : 비정상 리디렉션 규칙 존재 여부 확인
5) 위장 프로세스 존재 여부 : kdmtmpflush 등 위장된 백도어 프로세스 탐지
3. 상세 점검 및 대응 가이드
1) BPFDoor 탐지 (패킷 스니핑 프로세스 확인)
# grep packet_recvmsg /proc/*/stack
# grep wait_for_more_packets /proc/*/stack
1-1) 탐지시 대응 절차
- PID 추출 예시 (PID=2050)
# ps -fp 2050
# ls -l /proc/2050/exe
# strings /proc/2050/exe | less
- 악성 의심 시 종료 및 삭제
# kill -9 2050
# rm -f /실제 실행 경로 (ls -l로 확인한 실제 파일 삭제)
2) 비정상 포트(42391~43391) 탐지
# ss -lp | grep -E ':[4][2-3][0-9]{3}|:43000|:43100|:43200|:43300'
2-1) 탐지시 대응 절차
- 포트 → PID 확인
# netstat -anp | grep 42763
# lsof -i :42763
- 상세 정보 확인
# ps -fp 1598
# ls -l /proc/1598/exe
# strings /proc/1598/exe | less
- 악성 의심 시 종료 및 삭제
# kill -9 1598
# rm -f /실제 실행 경로
3) 악성 파일 존재 여부 확인
# ls -al /dev/shm/kdmtmpflush
※ 존재 시 삭제 필요 + 백업 및 해시 수집 권장
4) iptables 비정상 규칙 확인
# iptables -nL
5) 위장 프로세스 점검 (kdmtmpflush 등)
# ps -ef | grep -i kdmtmpflush
# ps -ef | grep -i kdmtmp
[결론]
포스코이앤씨에 납품된 INFOSAFER V1 어플라이언스 장비에서는 이상 징후 없이 정상으로 확인되었습니다.
추후 회사 제품군 전체에 유사 요청이 들어올 수 있으며, 위 내용을 기준으로 동일하게 대응 가능함을 안내드립니다.
이상입니다.
===================================================================
금융위 사무처장 주관 SKT 해킹 관련 긴급 점검 회의 관련 자료 추가 합니다.(2025.04.30 14:11)
[텍스트 변환]
# sudo ss -0bp
# /usr/sbin/smartd -n -q never (smartadm 샘플의 위장 프로세스명)
# /usr/libexec/hald-addon-volume (hald-addon-volume 샘플의 위장 프로세스명)
# dbus-daemon --system (dbus-srv-bin.txt 샘플의 위장 프로세스명)
# hpasmlited -f /dev/hpilo (hpadmmild 샘플의 위장 프로세스명)
# 0x7255(29269), 0x5293(21139), 0x39393939(960051513) [smartadm 샘플]
# 0x7255(29269), 0x5293(21139) [hpadmmild 샘플]
# sudo ss -0pb | grep -EB1 ""$((0x7255))|$((0x5293))|$((0x39393939))""
[텍스트 변환]
# find {검색 디렉토리 경로} -type f -exec sh -c 'hexdump -ve ""1/1 \""%02x\"""" ""$1"" | grep -q ""c6459049c6459135c645922ac6459341c6459459c6459562"" && echo ""$1""' _ {} \;
[텍스트 변환]
# netstat -lpn | grep -E ':42[3-9][0-9]{2}|43[0-3][0-9]{2}'
참고자료 : (20250430)금융위 사무처장 주관SKT해킹관련 긴급점검회의_회의자료.pdf
첨부파일
(20250430)금융위 사무처장 주관SKT해킹관련 긴급점검회의_회의자료
.pdf
null
파일 다운로드","스텝: 수고 많으셨습니다. 고맙습니다. | 김영회: BPFDoor 악성코드 무료 점검 툴 참고용으로 공유 드립니다.
- https://www.piolink.com/kr/service/Security-Analysis.php?bbsCode=security&vType=view&idx=141 | 이민종: KISA에서 배포한 점검 가이드 문서입니다.
https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&pageIndex=1&nttId=71754&menuNo=205020",https://cafe.naver.com/pnpsecure2/7233
7230,[한국기업데이터] Manager 접속시 Duplication column name 발생으로 로그인 불가 현상,"1. 증상
: Manager에서 로그인 시도시 아무런 반응이 없으며 입력한 패스워드가 사라지고 로그인 처리가 되지 않음
2. 원인
: C:\Users\사용자\AppData\Roaming\PNP SECURE\Enterprise Manager(x64)\Log에서 emLOG확인 결과
Duplication column name에러 발생
: dbsafer3.manager_ip_allow 테이블에 manager_mac 컬럼이 존재하지만 Manager에서 해당 컬럼이 없다고 판단하고
해당 컬럼을 추가하는 과정에서 Duplication 에러로그 발생
3. 조치
: Manager관련 캐싱 테이블을 가지고 있는 dbsafer3.database_info_cache 테이블 truncate 처리",댓글 없음,https://cafe.naver.com/pnpsecure2/7230
7117,[한국토요타자동차] Enterprise Manager 7.0에서 IM Web Manager 호출 기능 지원 문의,"[FAQ분류] (에러로그문의 / 기능로직문의 / 기타문의)
[고객사/채널사]
- 한국토요타자동차
[이슈내용]
1. 증상 (증상 발생 전/후 변경된 사항의 유무를 반드시 체크0
- Enterprise Manager 7.0에서 IM Web Manager 호출 기능 미동작
> V5.0 Enterprise Manager에서는 아래와 같이 ""계정관리"" 메뉴가 노출되고 IM Web Manager를 실행할 수 있었습니다.
> V7.0 Enterprise Manager에서는 동일한 설정 후에도 메뉴가 노출되지 않습니다.
V5.0 (정상 노출)
<참고 벅스>
https://bugs.pnpsecure.com/view.php?id=23166
https://bugs.pnpsecure.com/view.php?id=23195
<설정 내역>
- dbsafer3.auth_users 테이블의 isadmin=1
- dbsafer3.variables 테이블의 mgr_use_imup=1 (3으로도 테스트)
- truncate dbsafer3.database_info_cache 명령도 수행하였으나, 메뉴 노출되지 않았습니다.
2. 예상되는 원인 및 확인한 내용 (방화벽 및 보안 프로그램 등의 체크 사항)
- V5.0에서 개발된 로직이 V7.0 Enterprise Manager or DBSAFER IM 소스에 반영되지 않은 것으로 추정
3. 특이사항 (연동 모듈, 커스텀 개발 등)
4. 사내 재현 정보
5. 요청사항
- Enterpsrise Manager 7에서도 ""계정관리"" 메뉴를 노출시켜 IM Web Manager 호출이 가능한지 로직 문의
(설정이 누락됐거나 보완사항이 있으면 말씀 부탁드립니다.)
[모듈 로그(Debugging 로그 및 ERROR 로그]
(파일 첨부를 하는 경우에도 중요한 에러로그(ERROR, WARNING)의 경우 반드시 본문에 포함)
[버전 정보](서버 PKG, Manager, PC-ASSIST, 클라이언트 툴 버전 등)
- 테스트한 매니저 V7.0 버전: 7.0.0.2A (Build-3204), IM: V1.6.2.51-a
[첨부파일](파일명에 이슈와 관련된 모듈이나 제품명 및 사이트명)","이건국: 안녕하세요, 강수빈 과장님.
해당 건은 EnterpriseManager 7.0 기능추가 건으로 벅스 등록 부탁드립니다.
(IM 1.6.2.x 버전에서는 기능 제공 중이므로, IM에 대해서는 따로 벅스등록을 하지 않으셔도됩니다.) | 강수빈: 해당 건 처리 완료되어 공유드립니다.
https://bugs.pnpsecure.com/view.php?id=30663

감사합니다. | 강수빈: URL 호출 실패 시 아래 테이블에서 APP 계정이 있는지 확인 필요합니다.
manager 계정이 존재해야 합니다.
=================================================
SELECT
idx
, app_id
, app_pw
, realm
, refresh_token
, secret
, reg_date
FROM
webem.api_client
WHERE
app_id = 'manager';
=================================================",https://cafe.naver.com/pnpsecure2/7117
7085,[Tip] 매니저 OS 언어 설정에 따른 메뉴 및 인코딩 설정 방법,"아래 내용을 참고하여 언어 관련 설정을 구분하고 글자 깨짐 현상 조치에 도움이 되길 바랍니다.
1. (윈도우) 레지스트리 설정
레지스트리의 Html Path 항목에 KOR, ENU, JPN은 매니저 리소스의 영문처리와 관련이 있습니다.
즉, 메뉴 구성이나 출력되는 메시지 등에만 영향을 줍니다.
Windows를 한글기반에서 영문으로 변경하시면
각 OS 별로 디폴트 코드 페이지 값이 다르게 설정됩니다.
[ 설정 경로 ]
컴퓨터\HKEY_LOCAL_MACHINE\SOFTWARE\PNP SECURE\Enterprise Manager
[ 변수 ]
Html Path
[ 설정 옵션 ]
값 데이터(V) : KOR | ENU | JPN
2. (매니저) 시스템 설정
OS기반으로 DB에 입력된 데이터가 어떻게 보이는지와 관련이 있습니다.
예를들어, 이미 DB에 들어가 있는 정보가 한글 OS 기반일 때 CP949로 데이터가 DB에 들어간 케이스라
영문 OS에서 CP1252로 변환처리 했을 때 깨져서 보일 수 있습니다.
[ 설정 경로 ]
시스템설정(Ctrl+Shift+F8) > 기본 동작 설정
[ 변수 ]
코드 페이지 설정
[ 설정 옵션 ]
값 데이터(V) : OS기본(CP_ACP) | 한글(CP_949) | 일본어(CP_932)",채널지원: 이미지가 보이지 않습니다. | 조재근: 업데이트 했습니다. 감사합니다.,https://cafe.naver.com/pnpsecure2/7085
6843,[오스템임플란트] 매니저 로그 조회 시 PC 사용 용량 체크 관련 문의,"[분류] (에러로그문의 / 기능로직문의 / 기타문의)
기능로직문의
[고객사/채널사]
오스템임플란트
[이슈내용]
1. 증상 (증상 발생 전/후 변경된 사항의 유무를 반드시 체크0
서비스로그 조회 시 PC 용량 점유율 확인 메시지 출력
2. 예상되는 원인 및 확인한 내용 (방화벽 및 보안 프로그램 등의 체크 사항)
3. 특이사항 (연동 모듈, 커스텀 개발 등)
4. 사내 재현 정보
5. 요청사항
서비스로그 조회 시 PC 용량 점유율 확인 시 C드라이브 용량이 90퍼센트가 넘어 조회가 되지 않을 때
매니저를 다른 디스크/파티션 (D드라이브 등)에 설치하여 해결이 가능한지, 아니면 다른 디스크/파티션에 설치하더라도 무조건 C드라이브의 용량을 확인하는지 문의드립니다.
[모듈 로그(Debugging 로그 및 ERROR 로그]
(파일 첨부를 하는 경우에도 중요한 에러로그(ERROR, WARNING)의 경우 반드시 본문에 포함)
[버전 정보](서버 PKG, Manager, PC-ASSIST, 클라이언트 툴 버전 등)
[첨부파일](파일명에 이슈와 관련된 모듈이나 제품명 및 사이트명)","김태윤: 현재는 DBSAFER Manager 설치 경로와 상관없이 C:\ 드라이브를 이용하여 조회 시 캐시 정보를 저장하는 용도로 사용하고 있습니다.
(예를 들어 인터넷 브라우저를 사용하는 경우 임시 파일을 다운로드 하는 것과 유사합니다.)
해당 기능에 대해서 수정이 필요하다면 벅스로 올려 주시기 바랍니다.

대부분의 소프트웨어 프로그램이 대부분 C 드라이브를 사용하고 있습니다. 참고하세요.

추가로 시스템 설정 부분에 로그조회설정 부분에 ""대용량 조회 가능한 최소 디스크 용량""에 대해서 기본 10%로 되어 있는데, 조정하시면 될 것으로 보입니다.

감사합니다. | 강성우: 자세하게 답변해주셔서 도움되었습니다. 감사합니다.",https://cafe.naver.com/pnpsecure2/6843
6749,[수협중앙회] EnterpriseManager7.0에서 DBMS 서비스 그룹 장비 조회 안되는 증상,"[분류] (에러로그문의 / 기능로직문의 / 기타문의)
기타 문의
[고객사/채널사]
수협중앙회
[이슈내용]
1. 증상 (증상 발생 전/후 변경된 사항의 유무를 반드시 체크0
EnterpriseManager7.0 > 객체관리 > 서비스 > DBMS > 그룹 클릭 시 등록 장비가 보이지 않음
2. 예상되는 원인 및 확인한 내용 (방화벽 및 보안 프로그램 등의 체크 사항)
- 생성되어 있는 그룹의 모든 DBMS 장비가 보이지 않음
- 그룹을 수정 또는 새로 생성할 경우 기존 생성되어 있던 그룹의 DBMS 장비 리스트가 보여짐
- DB 접속 후 dbsafer3.servicegroups 테이블 확인 시 생성하지 않는 그룹들이 900개 정도 생성되어 있는 것을 확인
예시)
3. 특이사항 (연동 모듈, 커스텀 개발 등)
4. 사내 재현 정보
5. 요청사항
- DBMS 서비스 그룹 선택 시 장비 정보가 보이지 않는 증상에 대하여 확인 요청
- DB 데이터에 생성하지 않는 데이터 생성 원인 확인 요청
[버전 정보](서버 PKG, Manager, PC-ASSIST, 클라이언트 툴 버전 등)
- Custom_Set : CustomSet_Rocky8.7_20240603.cpio.gz
- AM : PKG_DBSAFER7_RelR23.05_RockyLinux_x86_64_P11.11_D2F_ssl30_MariaDB_20240524.tar
[첨부파일](파일명에 이슈와 관련된 모듈이나 제품명 및 사이트명)","최재규: 우선 HOM0000....001 로 생성되는 데이터는 호스트 객체를 만들면 자동으로 만들어지는 그룹으로 확인했습니다.
해당 데이터는 매니저에서 서비스 그룹 선택시 정보가 보이지 않는 현상과 무관할 것으로 판단됩니다.

매니저에서 서비스그룹 메뉴를 선택할 경우 servicegroup_link 테이블과 servicegroup_link_linksrc 테이블을 조회하는데 해당 테이블 조회한 결과 확인이 필요합니다.

또한 아래 쿼리에 해당하는 결과도 필요합니다.
SELECT IFNULL(`UPDATE_TIME`, `CREATE_TIME`) AS `UPDATE_TIME` FROM information_schema.TABLES WHERE `TABLE_SCHEMA` = 'dbsafer3' AND `TABLE_NAME` = 'services' OR `TABLE_NAME` = 'client_host' OR `TABLE_NAME` = 'dbsafer_ldap_list' OR `TABLE_NAME` = | 최재규: 매니저에서 Join 하는 쿼리에서 이슈가 있었던 것으로 현상 확인했으며, Build-2859 버전에서 발생합니다.
최신버전(Build-3136)에서는 발생하지 않는 것으로 확인하고 이슈 종료합니다.",https://cafe.naver.com/pnpsecure2/6749
6738,"[KT Cloud] Enterprise Manager 7.0 관리자 로그에 기록되는 ""환경설정 삭제"" 로그 문의","[분류] (에러로그문의 / 기능로직문의 / 기타문의)
기타문의
[고객사/채널사]
KT Cloud
[이슈내용]
1. 증상 (증상 발생 전/후 변경된 사항의 유무를 반드시 체크0
- 관리자가 환경설정 조작을 하지 않았음에도, Enterprise Manager 7.0 관리자 로그에 ""환경설정 삭제"" 라는 문구가 기록되는 현상
2. 예상되는 원인 및 확인한 내용 (방화벽 및 보안 프로그램 등의 체크 사항)
3. 특이사항 (연동 모듈, 커스텀 개발 등)
- 담당자가 Enterprise Manager 7.0을 통해 작업을 진행하지 않았음에도, 해당 문구가 기록되어 문의주셨습니다.
4. 사내 재현 정보
5. 요청사항
- Enterprise Manager 7.0 관리자 로그에 기록되는 ""환경설정 삭제"" 문구가 어떤 상황에서 기록되는지 문의
[모듈 로그(Debugging 로그 및 ERROR 로그]
(파일 첨부를 하는 경우에도 중요한 에러로그(ERROR, WARNING)의 경우 반드시 본문에 포함)
[버전 정보](서버 PKG, Manager, PC-ASSIST, 클라이언트 툴 버전 등)
- 매니저 정보: 7.0.0.1 [3.7.48] Build-2161
[첨부파일](파일명에 이슈와 관련된 모듈이나 제품명 및 사이트명)","조재근: 안녕하세요 강수빈 과장님!
기반검증팀 조재근입니다.

해당 로그는 매니저에서 SSH 서비스 삭제시 발생하는 로그 입니다. (이슈나 버그 아님)

문구가 `환경 설정 삭제` 라고 나와있어 다소 혼란이 있었을 거라 생각합니다.

91361119 관리자가 여러개의 SSH서비스를 삭제했는지 담당자 확인 부탁드립니다.

아래 이미지와 같이 재현됨을 확인했습니다.
감사합니다.",https://cafe.naver.com/pnpsecure2/6738
6682,[라이나 생명 보험] Manager DBMS 명령어 로그 파일 출력 시 한줄씩 띄어져서 출력되는 현상에 대하여 문의드립니다.,"[분류] (에러로그문의 / 기능로직문의 / 기타문의)
기타문의
[고객사/채널사]
라이나생명보험
[이슈내용]
1. 증상 (증상 발생 전/후 변경된 사항의 유무를 반드시 체크
- DBMS 명령어 파일 출력 시 한줄씩 띄어져서 저장되는 현상
2. 예상되는 원인 및 확인한 내용 (방화벽 및 보안 프로그램 등의 체크 사항)
- 실제 실행 시 enter를 통하여 줄을 바꿈
- 허나 한줄씩 띄어서 작성하지는 않았음
3. 특이사항 (연동 모듈, 커스텀 개발 등)
- 없음
4. 사내 재현 정보
- IP : 192.168.112.38 / ID : admin / PW : admin007!
5. 요청사항
- 해당 동작이 정상 동작인지 확인이 필요합니다.
[모듈 로그(Debugging 로그 및 ERROR 로그]
(파일 첨부를 하는 경우에도 중요한 에러로그(ERROR, WARNING)의 경우 반드시 본문에 포함)
[버전 정보](서버 PKG, Manager, PC-ASSIST, 클라이언트 툴 버전 등)
Manager : 6817, 7332
[첨부파일](파일명에 이슈와 관련된 모듈이나 제품명 및 사이트명)","여성구: 기반검증팀에 확인 요청하였습니다. | 전준호: 안녕하세요. 여성구 부장님.
프로젝트 1팀 전준호입니다.
확인 감사합니다. | 김태윤: 아래의 형태로 쿼리 조회를 하고 DBSAFER에서는 해당 쿼리에 대해서 로그를 남겼을 것입니다.
select * from
dbsafer3.dbsafer_ldap_list
where idx=1
LIMIT 0, 200

실제 DB에 저장된 정보를 바이너리 형태로 확인해 보면, 줄 넘김 부분에 \r Carriage Return, \n Line Feed 이 있어서 엑셀로 저장 시

\r\n > \n 으로 치환되어야 하나 \n\n 으로 치환되어서 발생되는 부분입니다.
연구소에서 이슈 생성 후 처리 예정입니다.

감사합니다. | 전준호: 안녕하세요. 김태윤 실장님.
프로젝트 1팀 전준호입니다.

확인해 주셔서 대단히 감사합니다. | 김태윤: 해당 이슈에 대한 벅스 정보와 수정 버전에 대한 정보 공유합니다.

[벅스]
https://bugs.pnpsecure.com/view.php?id=28856

[패키지]
https://bbs.pnpsecure.com/showthread.php?tid=13835",https://cafe.naver.com/pnpsecure2/6682
6596,[공지] BBS 게시판 정리,"장기간 사용되고 있는 BBS 를 정리합니다. 아래의 목적과 기준으로 정리를 진행합니다.
정리 시에 다운로드 가능한 고객사 전용 버전은 예외 할 예정이나 담당 엔지니어 분들께서는 사전에 필요한 것은 확인을 해주시기 바랍니다.
[정리 일정]
2024년 08월 05일(월) 부터 순차 진행 예정
[정리 목적]
장기간 사용되어서 누적된 BBS 에 2024년 기준으로 사용이 되지 않는 게시판 및 다운로드 되지 않는 다수의 게시글로 인한 문제 해결
[게시판 정리 기준]
2016년 이전 기준으로 등록자가 ""Guest"" 인 게시판 삭제 (실제 다운로드 불가 게시글)
최상단 게시판에서 사용성 없거나 적은 게시판의 삭제 및 비활성화
실제 사용이 적으나 필요한 게시판은 ""기타 프로젝트""로 게시판으로 통합 관리
BBS 등록 필수가 아닌 게시글 삭제
필요 시 빌드가 가능한 범위의 매니저 프로그램 삭제 (대상은 하위 ""게시글 삭제 대상"" 참고)
고객사 전용은 삭제 제외
매니저 기타의 경우 게시 내용인 svn 로그는 svn 로그로 확인 가능하며 빌드도 버전 관리로 가능하여 오래 된 게시글을 삭제하고자 합니다.
[기대효과]
최상단의 게시판을 필요 항목으로 구성하여 찾기 쉽도록 구성
게시판 명칭 변경으로 필요한 모듈 찾기가 쉽게 효율성 증대
주요 변경사항은 아래와 같습니다.
게시판 및 게시글 삭제 대상
공지사항 (카테고리) 및 공지사항 게시판
IT 트랜드 & 기술 공유 (내용이 있는 글은 그룹웨어 지식 공유로 이동 예정)
게시판 - 사이트 정보 공유
게시판 - 자유게시판 (하위 아이디어 및 자유게시판 내용 중 일부는 그룹웨어 지식 공유로 이동 예정)
UNISAFER (게시글 없음)
DBSAFER AM (게시글 없음)
INSTAT (""OLD 프로젝트 - 기타"" 게시판으로 게시글 이동 후 삭제)
PNP_SUPPORT (""OLD 프로젝트 - 기타"" 게시판으로 게시글 이동 후 삭제)
WebGateDB (""OLD 프로젝트 - 기타"" 게시판으로 게시글 이동 후 삭제)
DBSAFER 패키지 미포함 모듈 - 윈도우 : 자료실 - 업무용 프로그램 공유 로 게시글 이동 후 삭제
게시글 삭제 대상
DBSAFER v 5.0 - 매니저 기타 하위 게시글
5.0.9.4 ALPHA (Build - 6999) 이하 삭제
DBSAFER v 3.0 - 매니저 기타 하위 게시글
Manager Enterprise 3.0.8.0 ALPHA (Build - 3977) 이하 삭제
NODESAFER 4.0.8.0 (Bulid - 3958) 이하 삭제
DBSAFER v 2.0 - 매니저 설치 릴리즈 하위 제외 전체 게시글
<2.0.5.0> 통신패킷1.21 - 일반
<2.0.4.9> 통신패킷1.23 - 일반
<2.0.4.9> 통신패킷1.19 - 일반
<2.0.5.3> 통신패킷1.21 OTP (+SSL)
<2.0.5.2> 통신패킷1.19 OTP (+SSL)
DBSAFER v 2.0 - 매니저 설치 기타 하위 제외 전체 게시글
[LogViewer 1.21][v1099] 기본 보고서 설치본
2.0용 대량 로그 백업 프로그램
게시판 비활성화 (보이지 않도록 설정) 대상
DBSAFER v 3.0
DBSAFER v 2.0
WASSAFER v 4.0
OLD 프로젝트
게시판 이동
매뉴얼 및 문서 : 매뉴얼 카테고리 구성 후 이동
DB 툴 내보내기 제어 : ""기타 프로젝트"" 게시판 생성 후 하위로 이동
결재시스템 : DECIDE V 3.0 으로 이름 변경 후 결재시스템으로 이동
결재관리시스템 : DMS 로 이름 변경 후 결재시스템으로 이동
사이트 커스터마이징 모듈 : ""연동 및 서버 운용 모듈"" 하위 커스텀 모듈로 명칭 변경 후 이동
DBSAFER 패키지 미포함 모듈 - 서버 : ""연동 및 서버 운용 모듈"" 하위 연동 모듈로 명칭 변경 후 이동
""USER TRACER"" 을 ""개인정보 모니터링 (INFOSAFER)"" 하위로 이동
신규 게시판
연동 및 운용 서포트 모듈 : DBSAFER 운영 보조 모듈 및 사이트 연동 모듈",현승환: BBS게시판 정리는 품질보증실 여성구 팀장님이 진행하고 계십니다 .(참고),https://cafe.naver.com/pnpsecure2/6596
